Channel,Delta Power (0.5-4 Hz),Theta Power (4-8 Hz),Alpha Power (8-13 Hz),Beta Power (13-30 Hz),Gamma Power (30-100 Hz)
1,202.3,26.225,20.524,40.372,72.947
2,186.75,10.692,24.476,58.68,98.13
3,213.28,32.211,22.297,39.213,58.496
4,276.53,19.84,16.062,42.502,110.4
1,202.3,26.225,20.524,40.372,72.947
2,186.75,10.692,24.476,58.68,98.13
3,213.28,32.211,22.297,39.213,58.496
4,276.53,19.84,16.062,42.502,110.4
1,1070.7,213.51,71.831,114.44,214.42
2,452.03,33.799,14.983,98.744,277.49
3,7608.1,640.36,83.216,249.02,495.01
4,3415.8,465.61,145.38,133.98,203.9
