Channel,Delta Power (0.5-4 Hz),Theta Power (4-8 Hz),Alpha Power (8-13 Hz),Beta Power (13-30 Hz),Gamma Power (30-100 Hz)
1,24519,1314.6,748.96,350.3,250.97
2,76924,1330.5,290.64,141.05,114.62
3,82983,814.01,328.26,104.88,83.94
4,29973,572.36,78.481,50.876,58.683
1,24519,1314.6,748.96,350.3,250.97
2,76924,1330.5,290.64,141.05,114.62
3,82983,814.01,328.26,104.88,83.94
4,29973,572.36,78.481,50.876,58.683
1,2730.9,347.26,136.78,77.183,64.779
2,1964.5,286.76,100.86,79.64,76.913
3,3812.9,52.217,14.638,25.364,45.403
4,2938,289.62,60.123,64.681,77.751
1,6373.1,830.72,348.58,120.07,92.079
2,72874,6985.8,1625.3,512.17,192.92
3,69637,5221.5,1696.5,3564.5,714.74
4,7241.9,955.9,118.18,56.163,61.791
1,3124,384.4,111.12,56.865,65.119
2,11239,715.43,86.452,67.889,84.779
3,45851,4075,1738.3,570.27,297.13
4,3635.8,284.14,79.851,51.66,73.974
1,4005.2,347.15,79.356,28.152,41.191
2,24909,1949,494.89,227.08,161.9
3,47265,12305,4829.7,4452.8,8736.8
4,3996.7,353.88,78.456,25.157,45.763
1,2752.2,357.41,43.131,22.583,25.889
2,3467.3,365.27,66.028,45.791,65.737
3,2998.7,319.02,520.25,2016.2,10927
4,2719,361.48,43.925,24.113,31.05
1,4094.7,390.13,56.933,29.452,34.036
2,1.7866e+05,813.89,90.997,145.8,125.5
3,2103.8,356.75,494.55,1760.1,7156.4
4,4082,389.18,53.273,31.607,41.698
1,3324.2,308.05,40.826,23.547,30.797
2,3668.3,115.25,43.678,65.014,110.19
3,13556,1577.1,734.8,2256.8,9788.9
4,3207.7,311.2,36.349,27.763,38.013
1,7146.7,809.21,75.483,51.924,52.158
2,89153,5019.5,1884.4,1138.2,561.35
3,36357,2803.8,1601.2,2033.9,4917
4,6818.4,830.98,63.977,44.004,56.748
1,32895,1543.9,220.09,167.32,93.553
2,5661,1169.1,193.34,128.87,144.26
3,77044,8030.2,2956.8,3242.7,7307.1
4,2616.7,188.99,46.612,40.853,60.014
1,5804.7,413.96,75.272,42.18,42.821
2,72196,4821.8,1598.4,1314,319.31
3,1.6349e+05,18548,3817.1,2346.5,3917.1
4,5840.9,452.19,52.82,30.507,39.868
1,4583.8,389.03,81.32,44.478,41.139
2,917.7,111.75,19.939,48.792,71.022
3,61110,5738.6,1417.8,2277.4,5395.6
4,11139,1260.7,229.64,626.04,287.53
